SEQUENCE_ID,INTAKE_ID,TIMESTAMP,SHA512_CHECKSUM,LEASE_ID,VARIANCE
10,101,2026-06-10 23:01:31.081098,VERIFIED_STREAM,544-A,0
11,101,2026-06-10 23:01:41.414950,VERIFIED_STREAM,544-A,0
12,101,2026-06-10 23:01:51.758361,VERIFIED_STREAM,544-A,0
13,101,2026-06-10 23:02:02.245036,VERIFIED_STREAM,544-A,0
14,101,2026-06-10 23:02:12.897842,VERIFIED_STREAM,544-A,0
15,101,2026-06-10 23:02:23.425454,VERIFIED_STREAM,544-A,0
16,101,2026-06-10 23:02:33.898064,VERIFIED_STREAM,544-A,0
17,101,2026-06-10 23:02:44.208800,VERIFIED_STREAM,544-A,0
19,101,2026-06-10 23:02:54.568926,VERIFIED_STREAM,544-A,0
2,101,2026-06-10 22:50:44.143669,VERIFIED_STREAM,544-A,0
20,101,2026-06-10 23:03:04.997501,VERIFIED_STREAM,544-A,0
21,101,2026-06-10 23:03:15.307678,VERIFIED_STREAM,544-A,0
22,101,2026-06-10 23:03:25.709712,VERIFIED_STREAM,544-A,0
23,101,2026-06-10 23:03:36.121868,VERIFIED_STREAM,544-A,0
24,101,2026-06-10 23:03:46.642053,VERIFIED_STREAM,544-A,0
26,101,2026-06-10 23:03:57.129541,VERIFIED_STREAM,544-A,0
27,101,2026-06-10 23:04:07.466651,VERIFIED_STREAM,544-A,0
28,101,2026-06-10 23:04:17.810895,VERIFIED_STREAM,544-A,0
29,101,2026-06-10 23:04:28.145784,VERIFIED_STREAM,544-A,0
3,101,2026-06-10 22:58:48.264608,VERIFIED_STREAM,544-A,0
4,101,2026-06-10 23:00:28.679966,VERIFIED_STREAM,544-A,0
5,101,2026-06-10 23:00:39.037421,VERIFIED_STREAM,544-A,0
6,101,2026-06-10 23:00:49.366933,VERIFIED_STREAM,544-A,0
7,101,2026-06-10 23:00:59.722224,VERIFIED_STREAM,544-A,0
8,101,2026-06-10 23:01:10.043529,VERIFIED_STREAM,544-A,0
9,101,2026-06-10 23:01:20.432172,VERIFIED_STREAM,544-A,0
18,544,2026-06-10 23:02:45.261472,VERIFIED_STREAM,544-A,0
25,544,2026-06-10 23:03:46.717675,VERIFIED_STREAM,544-A,0
30,101,2026-06-10 23:04:38.679056,VERIFIED_STREAM,544-A,0
31,544,2026-06-10 23:04:48.322147,VERIFIED_STREAM,544-A,0
32,101,2026-06-10 23:04:48.993882,VERIFIED_STREAM,544-A,0
33,101,2026-06-10 23:04:59.367318,VERIFIED_STREAM,544-A,0
34,101,2026-06-10 23:05:09.844514,VERIFIED_STREAM,544-A,0
35,101,2026-06-10 23:05:20.307544,VERIFIED_STREAM,544-A,0
36,101,2026-06-10 23:05:30.689546,VERIFIED_STREAM,544-A,0
37,101,2026-06-10 23:05:41.144810,VERIFIED_STREAM,544-A,0
38,544,2026-06-10 23:05:49.850299,VERIFIED_STREAM,544-A,0
39,101,2026-06-10 23:05:51.480301,VERIFIED_STREAM,544-A,0
40,101,2026-06-10 23:06:01.742967,VERIFIED_STREAM,544-A,0
41,101,2026-06-10 23:06:11.999044,VERIFIED_STREAM,544-A,0
42,101,2026-06-10 23:06:22.456513,VERIFIED_STREAM,544-A,0
43,101,2026-06-10 23:06:32.876254,VERIFIED_STREAM,544-A,0
44,101,2026-06-10 23:06:43.367339,VERIFIED_STREAM,544-A,0
45,544,2026-06-10 23:06:51.134295,VERIFIED_STREAM,544-A,0
46,101,2026-06-10 23:06:53.675098,VERIFIED_STREAM,544-A,0
47,101,2026-06-10 23:07:03.940712,VERIFIED_STREAM,544-A,0
48,101,2026-06-10 23:07:14.199055,VERIFIED_STREAM,544-A,0
49,101,2026-06-10 23:07:24.505079,VERIFIED_STREAM,544-A,0
50,101,2026-06-10 23:07:34.788886,VERIFIED_STREAM,544-A,0
51,101,2026-06-10 23:07:45.106047,VERIFIED_STREAM,544-A,0
52,544,2026-06-10 23:07:52.000524,VERIFIED_STREAM,544-A,0
53,101,2026-06-10 23:07:55.365844,VERIFIED_STREAM,544-A,0
54,101,2026-06-10 23:08:05.766628,VERIFIED_STREAM,544-A,0
55,101,2026-06-10 23:08:16.276159,VERIFIED_STREAM,544-A,0
56,101,2026-06-10 23:08:26.580230,VERIFIED_STREAM,544-A,0
57,101,2026-06-10 23:08:36.893663,VERIFIED_STREAM,544-A,0
58,101,2026-06-10 23:08:47.297340,VERIFIED_STREAM,544-A,0
59,544,2026-06-10 23:08:52.832169,VERIFIED_STREAM,544-A,0
